Make,CityMPG
Aston Martin,12
Lamborghini,12
Rolls-Royce,12
Bentley,12.5
Ferrari,14
Roush Performance,14
Maserati,15
Dodge,15.6
McLaren Automotive,16
Genesis,16.33333333
Lotus,17
Ram,17.33333333
Cadillac,18
Jeep,18
Porsche,18
GMC,18.25
Land Rover,18.25
Audi,19.4
Lincoln,19.5
Chrysler,19.66666667
Buick,20.33333333
Alfa Romeo,20.5
Infiniti,20.5
Jaguar,21
Volkswagen,21
Subaru,22
Toyota,22
Volvo,22.5
Acura,23
Lexus,23.6
MINI,24
Honda,26
Mazda,26.5
Ford,30.875
Mercedes-Benz,31.2
smart,32
Chevrolet,34.85714286
BMW,35.55555556
Nissan,37.66666667
Kia,45
Mitsubishi,50
Fiat,56.33333333
Hyundai,65
Tesla,92